icao24,callsign,country,timePosition,lastContact,longitude,latitude,baroAltitude,onGround,velocity,heading,verticalRate,_,geoAltitude,transponderCode,spi,positionSource
"49528f","TAP535  ","Portugal",1682183916,1682183916,0.9718,48.3842,11894.82,false,208.08,225.2,0,null,11833.86,"1120",false,0
"ab506e","N828V   ","United States",1682183916,1682183916,-96.3582,35.4186,2682.24,false,84.3,19.98,-2.93,null,2697.48,null,false,0
"a9ad36","RPA3628 ","United States",1682183916,1682183916,-74.8142,40.3201,2438.4,false,158.33,46.97,-1.63,null,2446.02,"5637",false,0
"a11fc6","UCA4300 ","United States",1682183916,1682183916,-101.0181,33.4967,5173.98,false,219.24,104.82,9.1,null,5265.42,null,false,0
"151e1b","PBD794  ","Russian Federation",1682182755,1682183914,48.8999,50.7462,11582.4,false,227.49,306.82,0,null,11391.9,null,false,0
"440145","EJU3879 ","Austria",1682183915,1682183916,-10.8539,37.0023,10668,false,200.06,230.95,0,null,10934.7,"4037",false,0
"45211b","BUC8627 ","Bulgaria",1682183916,1682183916,14.6632,46.4151,10370.82,false,209.69,322.88,-0.98,null,10439.4,"5501",false,0
"682211","MGL138  ","Mongolia",1682183915,1682183915,52.8935,56.0724,11277.6,false,242.01,87.56,0,null,11033.76,null,false,0
"a06967","VTE3552 ","United States",1682183916,1682183916,-96.8246,34.5234,8229.6,false,253.62,43.6,0,null,8328.66,null,false,0
"a3ff26","DAL961  ","United States",1682183916,1682183916,-97.03,32.8849,null,true,43.21,0,null,null,null,null,false,0
"c01a72","CJT1917 ","Canada",1682183916,1682183916,-107.4462,51.7787,12496.8,false,247.04,111.76,0,null,12275.82,null,false,0
"c0347d","ABK316  ","Canada",1682183904,1682183904,-74.0202,45.6856,null,true,0,315,null,null,null,null,false,0
"495297","TAP566  ","Portugal",1682183915,1682183915,-8.8679,38.8179,4526.28,false,150.97,38.08,9.43,null,4686.3,"5450",false,0
"a82a58","N625RS  ","United States",1682183916,1682183916,-86.9501,39.3886,822.96,false,37.17,184.76,-4.23,null,769.62,null,false,0
